instance_id,db_id,query,question,query_toks,query_toks_no_value,question_toks,modified question,generated_query
562,student_transcripts_tracking,"SELECT T1.address_id ,  T1.line_1 ,  T1.line_2 FROM Addresses AS T1 JOIN Students AS T2 ON T1.address_id  =  T2.current_address_id GROUP BY T1.address_id ORDER BY count(*) DESC LIMIT 1","What is the id, line 1, and line 2 of the address with the most students?","['SELECT', 'T1.address_id', ',', 'T1.line_1', ',', 'T1.line_2', 'FROM', 'Addresses', 'AS', 'T1', 'JOIN', 'Students', 'AS', 'T2', 'ON', 'T1.address_id', '=', 'T2.current_address_id', 'GROUP', 'BY', 'T1.address_id', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 't1', '.', 'address_id', ',', 't1', '.', 'line_1', ',', 't1', '.', 'line_2', 'from', 'addresses', 'as', 't1', 'join', 'students', 'as', 't2', 'on', 't1', '.', 'address_id', '=', 't2', '.', 'current_address_id', 'group', 'by', 't1', '.', 'address_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['What', 'is', 'the', 'id', ',', 'line', '1', ',', 'and', 'line', '2', 'of', 'the', 'address', 'with', 'the', 'most', 'students', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the id, line 1, and line 2 of the address with the most students? <query> "," <strong>SELECT T1.id ,  T1.line1 ,  T1.line2 FROM address AS T1 JOIN student AS T2 ON T1.id  =  T2.address_id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1</strong>"
563,student_transcripts_tracking,SELECT avg(transcript_date) FROM Transcripts,"On average, when were the transcripts printed?","['SELECT', 'avg', '(', 'transcript_date', ')', 'FROM', 'Transcripts']","['select', 'avg', '(', 'transcript_date', ')', 'from', 'transcripts']","['On', 'average', ',', 'when', 'were', 'the', 'transcripts', 'printed', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> On average, when were the transcripts printed? <query> ",<strong>SELECT avg(date_printed) FROM transcripts</strong>
564,student_transcripts_tracking,SELECT avg(transcript_date) FROM Transcripts,What is the average transcript date?,"['SELECT', 'avg', '(', 'transcript_date', ')', 'FROM', 'Transcripts']","['select', 'avg', '(', 'transcript_date', ')', 'from', 'transcripts']","['What', 'is', 'the', 'average', 'transcript', 'date', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the average transcript date? <query> ",<strong>SELECT avg(Transcript_Date) FROM student_info</strong>
565,student_transcripts_tracking,"SELECT transcript_date ,  other_details FROM Transcripts ORDER BY transcript_date ASC LIMIT 1",When is the first transcript released? List the date and details.,"['SELECT', 'transcript_date', ',', 'other_details', 'FROM', 'Transcripts', 'ORDER', 'BY', 'transcript_date', 'ASC', 'LIMIT', '1']","['select', 'transcript_date', ',', 'other_details', 'from', 'transcripts', 'order', 'by', 'transcript_date', 'asc', 'limit', 'value']","['When', 'is', 'the', 'first', 'transcript', 'released', '?', 'List', 'the', 'date', 'and', 'details', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> When is the first transcript released? List the date and details. <query> "," <strong>SELECT date_released ,  details FROM transcripts ORDER BY date_released LIMIT 1</strong>"
566,student_transcripts_tracking,"SELECT transcript_date ,  other_details FROM Transcripts ORDER BY transcript_date ASC LIMIT 1","What is the earliest date of a transcript release, and what details can you tell me?","['SELECT', 'transcript_date', ',', 'other_details', 'FROM', 'Transcripts', 'ORDER', 'BY', 'transcript_date', 'ASC', 'LIMIT', '1']","['select', 'transcript_date', ',', 'other_details', 'from', 'transcripts', 'order', 'by', 'transcript_date', 'asc', 'limit', 'value']","['What', 'is', 'the', 'earliest', 'date', 'of', 'a', 'transcript', 'release', ',', 'and', 'what', 'details', 'can', 'you', 'tell', 'me', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the earliest date of a transcript release, and what details can you tell me? <query> "," <strong>SELECT min(date_of_release) ,  name ,  date_of_release FROM transcript_release GROUP BY name ORDER BY date_of_release</strong>"
567,student_transcripts_tracking,SELECT count(*) FROM Transcripts,How many transcripts are released?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Transcripts']","['select', 'count', '(', '*', ')', 'from', 'transcripts']","['How', 'many', 'transcripts', 'are', 'released', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many transcripts are released? <query> ",<strong>SELECT count(*) FROM transcripts</strong>
568,student_transcripts_tracking,SELECT count(*) FROM Transcripts,How many transcripts are listed?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Transcripts']","['select', 'count', '(', '*', ')', 'from', 'transcripts']","['How', 'many', 'transcripts', 'are', 'listed', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many transcripts are listed? <query> ",<strong>SELECT count(*) FROM transcripts</strong>
569,student_transcripts_tracking,SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1,What is the last transcript release date?,"['SELECT', 'transcript_date', 'FROM', 'Transcripts', 'ORDER', 'BY', 'transcript_date', 'DESC', 'LIMIT', '1']","['select', 'transcript_date', 'from', 'transcripts', 'order', 'by', 'transcript_date', 'desc', 'limit', 'value']","['What', 'is', 'the', 'last', 'transcript', 'release', 'date', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the last transcript release date? <query> ",<strong>SELECT max(transcript_release_date) FROM transcripts</strong>
570,student_transcripts_tracking,SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1,When was the last transcript released?,"['SELECT', 'transcript_date', 'FROM', 'Transcripts', 'ORDER', 'BY', 'transcript_date', 'DESC', 'LIMIT', '1']","['select', 'transcript_date', 'from', 'transcripts', 'order', 'by', 'transcript_date', 'desc', 'limit', 'value']","['When', 'was', 'the', 'last', 'transcript', 'released', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> When was the last transcript released? <query> ",<strong>SELECT date_of_release FROM transcripts ORDER BY date_of_release DESC LIMIT 1</strong>
571,student_transcripts_tracking,"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1",How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id.,"['SELECT', 'count', '(', '*', ')', ',', 'student_course_id', 'FROM', 'Transcript_Contents', 'GROUP', 'BY', 'student_course_id', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 'count', '(', '*', ')', ',', 'student_course_id', 'from', 'transcript_contents', 'group', 'by', 'student_course_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['How', 'many', 'times', 'at', 'most', 'can', 'a', 'course', 'enrollment', 'result', 'show', 'in', 'different', 'transcripts', '?', 'Also', 'show', 'the', 'course', 'enrollment', 'id', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id. <query> "," <strong>SELECT count(*) ,  course_enrollment_id FROM transcript_course_enrollment GROUP BY course_enrollment_id ORDER BY count(*) DESC LIMIT 1</strong>"
572,student_transcripts_tracking,"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1",What is the maximum number of times that a course shows up in different transcripts and what is that course's enrollment id?,"['SELECT', 'count', '(', '*', ')', ',', 'student_course_id', 'FROM', 'Transcript_Contents', 'GROUP', 'BY', 'student_course_id', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 'count', '(', '*', ')', ',', 'student_course_id', 'from', 'transcript_contents', 'group', 'by', 'student_course_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['What', 'is', 'the', 'maximum', 'number', 'of', 'times', 'that', 'a', 'course', 'shows', 'up', 'in', 'different', 'transcripts', 'and', 'what', 'is', 'that', 'course', ""'s"", 'enrollment', 'id', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the maximum number of times that a course shows up in different transcripts and what is that course's enrollment id? <query> "," <strong>SELECT max(count_trans) ,  enrollment_id FROM ( SELECT count(*) AS count_trans ,  enrollment_id FROM transcript GROUP BY enrollment_id ) GROUP BY enrollment_id</strong>"
573,student_transcripts_tracking,"SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id ORDER BY count(*) ASC LIMIT 1","Show the date of the transcript which shows the least number of results, also list the id.","['SELECT', 'T2.transcript_date', ',', 'T1.transcript_id', 'FROM', 'Transcript_Contents', 'AS', 'T1', 'JOIN', 'Transcripts', 'AS', 'T2', 'ON', 'T1.transcript_id', '=', 'T2.transcript_id', 'GROUP', 'BY', 'T1.transcript_id', 'ORDER', 'BY', 'count', '(', '*', ')', 'ASC', 'LIMIT', '1']","['select', 't2', '.', 'transcript_date', ',', 't1', '.', 'transcript_id', 'from', 'transcript_contents', 'as', 't1', 'join', 'transcripts', 'as', 't2', 'on', 't1', '.', 'transcript_id', '=', 't2', '.', 'transcript_id', 'group', 'by', 't1', '.', 'transcript_id', 'order', 'by', 'count', '(', '*', ')', 'asc', 'limit', 'value']","['Show', 'the', 'date', 'of', 'the', 'transcript', 'which', 'shows', 'the', 'least', 'number', 'of', 'results', ',', 'also', 'list', 'the', 'id', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show the date of the transcript which shows the least number of results, also list the id. <query> "," <strong>SELECT date ,  id FROM transcript ORDER BY count(*) LIMIT 1</strong>"
574,student_transcripts_tracking,"SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id ORDER BY count(*) ASC LIMIT 1",What is the date and id of the transcript with the least number of results?,"['SELECT', 'T2.transcript_date', ',', 'T1.transcript_id', 'FROM', 'Transcript_Contents', 'AS', 'T1', 'JOIN', 'Transcripts', 'AS', 'T2', 'ON', 'T1.transcript_id', '=', 'T2.transcript_id', 'GROUP', 'BY', 'T1.transcript_id', 'ORDER', 'BY', 'count', '(', '*', ')', 'ASC', 'LIMIT', '1']","['select', 't2', '.', 'transcript_date', ',', 't1', '.', 'transcript_id', 'from', 'transcript_contents', 'as', 't1', 'join', 'transcripts', 'as', 't2', 'on', 't1', '.', 'transcript_id', '=', 't2', '.', 'transcript_id', 'group', 'by', 't1', '.', 'transcript_id', 'order', 'by', 'count', '(', '*', ')', 'asc', 'limit', 'value']","['What', 'is', 'the', 'date', 'and', 'id', 'of', 'the', 'transcript', 'with', 'the', 'least', 'number', 'of', 'results', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the date and id of the transcript with the least number of results? <query> "," <strong>SELECT date ,  id FROM transcripts ORDER BY results ASC LIMIT 1</strong>"
575,student_transcripts_tracking,SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Master' INTERSECT SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Bachelor',Find the semester when both Master students and Bachelor students got enrolled in.,"['SELECT', 'DISTINCT', 'T2.semester_id', 'FROM', 'Degree_Programs', 'AS', 'T1', 'JOIN', 'Student_Enrolment', 'AS', 'T2', 'ON', 'T1.degree_program_id', '=', 'T2.degree_program_id', 'WHERE', 'degree_summary_name', '=', ""'Master"", ""'"", 'INTERSECT', 'SELECT', 'DISTINCT', 'T2.semester_id', 'FROM', 'Degree_Programs', 'AS', 'T1', 'JOIN', 'Student_Enrolment', 'AS', 'T2', 'ON', 'T1.degree_program_id', '=', 'T2.degree_program_id', 'WHERE', 'degree_summary_name', '=', ""'Bachelor"", ""'""]","['select', 'distinct', 't2', '.', 'semester_id', 'from', 'degree_programs', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'degree_program_id', '=', 't2', '.', 'degree_program_id', 'where', 'degree_summary_name', '=', 'value', 'intersect', 'select', 'distinct', 't2', '.', 'semester_id', 'from', 'degree_programs', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'degree_program_id', '=', 't2', '.', 'degree_program_id', 'where', 'degree_summary_name', '=', 'value']","['Find', 'the', 'semester', 'when', 'both', 'Master', 'students', 'and', 'Bachelor', 'students', 'got', 'enrolled', 'in', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the semester when both Master students and Bachelor students got enrolled in. <query> ",<strong>SELECT semester FROM student WHERE degree  =  'Master' INTERSECT SELECT semester FROM student WHERE degree  =  'Bachelor'</strong>
576,student_transcripts_tracking,SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Master' INTERSECT SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Bachelor',What is the id of the semester that had both Masters and Bachelors students enrolled?,"['SELECT', 'DISTINCT', 'T2.semester_id', 'FROM', 'Degree_Programs', 'AS', 'T1', 'JOIN', 'Student_Enrolment', 'AS', 'T2', 'ON', 'T1.degree_program_id', '=', 'T2.degree_program_id', 'WHERE', 'degree_summary_name', '=', ""'Master"", ""'"", 'INTERSECT', 'SELECT', 'DISTINCT', 'T2.semester_id', 'FROM', 'Degree_Programs', 'AS', 'T1', 'JOIN', 'Student_Enrolment', 'AS', 'T2', 'ON', 'T1.degree_program_id', '=', 'T2.degree_program_id', 'WHERE', 'degree_summary_name', '=', ""'Bachelor"", ""'""]","['select', 'distinct', 't2', '.', 'semester_id', 'from', 'degree_programs', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'degree_program_id', '=', 't2', '.', 'degree_program_id', 'where', 'degree_summary_name', '=', 'value', 'intersect', 'select', 'distinct', 't2', '.', 'semester_id', 'from', 'degree_programs', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'degree_program_id', '=', 't2', '.', 'degree_program_id', 'where', 'degree_summary_name', '=', 'value']","['What', 'is', 'the', 'id', 'of', 'the', 'semester', 'that', 'had', 'both', 'Masters', 'and', 'Bachelors', 'students', 'enrolled', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the id of the semester that had both Masters and Bachelors students enrolled? <query> "," <strong>SELECT T1.semester_id FROM semester AS T1 JOIN student AS T2 ON T1.semester_id  =  T2.semester_id WHERE T2.degree  =  ""Bachelors"" AND T2.degree  =  ""Masters""</strong>"
577,student_transcripts_tracking,SELECT count(DISTINCT current_address_id) FROM Students,How many different addresses do the students currently live?,"['SELECT', 'count', '(', 'DISTINCT', 'current_address_id', ')', 'FROM', 'Students']","['select', 'count', '(', 'distinct', 'current_address_id', ')', 'from', 'students']","['How', 'many', 'different', 'addresses', 'do', 'the', 'students', 'currently', 'live', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many different addresses do the students currently live? <query> ",<strong>SELECT count(DISTINCT address) FROM student</strong>
578,student_transcripts_tracking,SELECT count(DISTINCT current_address_id) FROM Students,What are the different addresses that have students living there?,"['SELECT', 'count', '(', 'DISTINCT', 'current_address_id', ')', 'FROM', 'Students']","['select', 'count', '(', 'distinct', 'current_address_id', ')', 'from', 'students']","['What', 'are', 'the', 'different', 'addresses', 'that', 'have', 'students', 'living', 'there', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the different addresses that have students living there? <query> ",<strong>SELECT DISTINCT address FROM student</strong>
579,student_transcripts_tracking,SELECT other_student_details FROM Students ORDER BY other_student_details DESC,List all the student details in reversed lexicographical order.,"['SELECT', 'other_student_details', 'FROM', 'Students', 'ORDER', 'BY', 'other_student_details', 'DESC']","['select', 'other_student_details', 'from', 'students', 'order', 'by', 'other_student_details', 'desc']","['List', 'all', 'the', 'student', 'details', 'in', 'reversed', 'lexicographical', 'order', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List all the student details in reversed lexicographical order. <query> "," <strong>SELECT * FROM student ORDER BY lastname DESC , firstname DESC</strong>"
580,student_transcripts_tracking,SELECT other_student_details FROM Students ORDER BY other_student_details DESC,What other details can you tell me about students in reverse alphabetical order?,"['SELECT', 'other_student_details', 'FROM', 'Students', 'ORDER', 'BY', 'other_student_details', 'DESC']","['select', 'other_student_details', 'from', 'students', 'order', 'by', 'other_student_details', 'desc']","['What', 'other', 'details', 'can', 'you', 'tell', 'me', 'about', 'students', 'in', 'reverse', 'alphabetical', 'order', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What other details can you tell me about students in reverse alphabetical order? <query> "," <strong>SELECT T1.student_id ,  T1.student_name ,  T1.student_gender ,  T1.student_age ,  T1.student_phone_number FROM student AS T1 ORDER BY T1.student_name DESC</strong>"
581,student_transcripts_tracking,SELECT section_description FROM Sections WHERE section_name  =  'h',Describe the section h.,"['SELECT', 'section_description', 'FROM', 'Sections', 'WHERE', 'section_name', '=', ""'h"", ""'""]","['select', 'section_description', 'from', 'sections', 'where', 'section_name', '=', 'value']","['Describe', 'the', 'section', 'h', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Describe the section h. <query> ",<strong>SELECT section_code FROM section WHERE section_code LIKE '%h%'</strong>
582,student_transcripts_tracking,SELECT section_description FROM Sections WHERE section_name  =  'h',What is the description for the section named h?,"['SELECT', 'section_description', 'FROM', 'Sections', 'WHERE', 'section_name', '=', ""'h"", ""'""]","['select', 'section_description', 'from', 'sections', 'where', 'section_name', '=', 'value']","['What', 'is', 'the', 'description', 'for', 'the', 'section', 'named', 'h', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the description for the section named h? <query> "," <strong>SELECT description FROM section WHERE section_name  =  ""h""</strong>"
583,student_transcripts_tracking,select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582',Find the first name of the students who permanently live in the country Haiti or have the cell phone number 09700166582 .,"['select', 't1.first_name', 'from', 'students', 'as', 't1', 'join', 'addresses', 'as', 't2', 'on', 't1.permanent_address_id', '=', 't2.address_id', 'where', 't2.country', '=', '""haiti""', 'or', 't1.cell_mobile_number', '=', '""09700166582""']","['select', 't1', '.', 'first_name', 'from', 'students', 'as', 't1', 'join', 'addresses', 'as', 't2', 'on', 't1', '.', 'permanent_address_id', '=', 't2', '.', 'address_id', 'where', 't2', '.', 'country', '=', 'value', 'or', 't1', '.', 'cell_mobile_number', '=', 'value']","['Find', 'the', 'first', 'name', 'of', 'the', 'students', 'who', 'permanently', 'live', 'in', 'the', 'country', 'Haiti', 'or', 'have', 'the', 'cell', 'phone', 'number', '09700166582', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the first name of the students who permanently live in the country Haiti or have the cell phone number 09700166582 . <query> "," <strong>SELECT first_name FROM student WHERE country_of_residence  =  ""Haiti"" OR cell_phone_number  =  ""09700166582""</strong>"
584,student_transcripts_tracking,select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582',What are the first names of the students who live in Haiti permanently or have the cell phone number 09700166582 ?,"['select', 't1.first_name', 'from', 'students', 'as', 't1', 'join', 'addresses', 'as', 't2', 'on', 't1.permanent_address_id', '=', 't2.address_id', 'where', 't2.country', '=', '""haiti""', 'or', 't1.cell_mobile_number', '=', '""09700166582""']","['select', 't1', '.', 'first_name', 'from', 'students', 'as', 't1', 'join', 'addresses', 'as', 't2', 'on', 't1', '.', 'permanent_address_id', '=', 't2', '.', 'address_id', 'where', 't2', '.', 'country', '=', 'value', 'or', 't1', '.', 'cell_mobile_number', '=', 'value']","['What', 'are', 'the', 'first', 'names', 'of', 'the', 'students', 'who', 'live', 'in', 'Haiti', 'permanently', 'or', 'have', 'the', 'cell', 'phone', 'number', '09700166582', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the first names of the students who live in Haiti permanently or have the cell phone number 09700166582 ? <query> "," <strong>SELECT first_name FROM student WHERE country_of_residence  =  ""Haiti"" OR cell_phone_number  =  ""09700166582""</strong>"
585,tvshow,SELECT Title FROM Cartoon ORDER BY title,List the title of all cartoons in alphabetical order.,"['SELECT', 'Title', 'FROM', 'Cartoon', 'ORDER', 'BY', 'title']","['select', 'title', 'from', 'cartoon', 'order', 'by', 'title']","['List', 'the', 'title', 'of', 'all', 'cartoons', 'in', 'alphabetical', 'order', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the title of all cartoons in alphabetical order. <query> ",<strong>SELECT title FROM cartoons ORDER BY title</strong>
586,tvshow,SELECT Title FROM Cartoon ORDER BY title,What are the titles of the cartoons sorted alphabetically?,"['SELECT', 'Title', 'FROM', 'Cartoon', 'ORDER', 'BY', 'title']","['select', 'title', 'from', 'cartoon', 'order', 'by', 'title']","['What', 'are', 'the', 'titles', 'of', 'the', 'cartoons', 'sorted', 'alphabetically', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the titles of the cartoons sorted alphabetically? <query> ",<strong>SELECT title FROM cartoons ORDER BY title</strong>
587,tvshow,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"";","List all cartoon directed by ""Ben Jones"".","['SELECT', 'Title', 'FROM', 'Cartoon', 'WHERE', 'Directed_by', '=', '``', 'Ben', 'Jones', ""''"", ';']","['select', 'title', 'from', 'cartoon', 'where', 'directed_by', '=', 'value']","['List', 'all', 'cartoon', 'directed', 'by', '``', 'Ben', 'Jones', ""''"", '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List all cartoon directed by ""Ben Jones"". <query> "," <strong>SELECT Cartoon_Name FROM Cartoon WHERE Director_Name  =  ""Ben Jones""</strong>"
588,tvshow,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"";",What are the names of all cartoons directed by Ben Jones?,"['SELECT', 'Title', 'FROM', 'Cartoon', 'WHERE', 'Directed_by', '=', '``', 'Ben', 'Jones', ""''"", ';']","['select', 'title', 'from', 'cartoon', 'where', 'directed_by', '=', 'value']","['What', 'are', 'the', 'names', 'of', 'all', 'cartoons', 'directed', 'by', 'Ben', 'Jones', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of all cartoons directed by Ben Jones? <query> "," <strong>SELECT T1.name FROM cartoons AS T1 JOIN directors AS T2 ON T1.director_id  =  T2.director_id WHERE T2.director_name  =  ""Ben Jones""</strong>"
589,tvshow,"SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";","How many cartoons were written by ""Joseph Kuhr""?","['SELECT', 'count', '(', '*', ')', 'FROM', 'Cartoon', 'WHERE', 'Written_by', '=', '``', 'Joseph', 'Kuhr', ""''"", ';']","['select', 'count', '(', '*', ')', 'from', 'cartoon', 'where', 'written_by', '=', 'value']","['How', 'many', 'cartoons', 'were', 'written', 'by', '``', 'Joseph', 'Kuhr', ""''"", '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many cartoons were written by ""Joseph Kuhr""? <query> "," <strong>SELECT count(*) FROM cartoons WHERE writer  =  ""Joseph Kuhr""</strong>"
590,tvshow,"SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";",What is the number of cartoones written by Joseph Kuhr?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Cartoon', 'WHERE', 'Written_by', '=', '``', 'Joseph', 'Kuhr', ""''"", ';']","['select', 'count', '(', '*', ')', 'from', 'cartoon', 'where', 'written_by', '=', 'value']","['What', 'is', 'the', 'number', 'of', 'cartoones', 'written', 'by', 'Joseph', 'Kuhr', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the number of cartoones written by Joseph Kuhr? <query> "," <strong>SELECT count(*) FROM cartoon WHERE author_name  =  ""Joseph Kuhr""</strong>"
591,tvshow,"SELECT title ,  Directed_by FROM Cartoon ORDER BY Original_air_date",list all cartoon titles and their directors ordered by their air date,"['SELECT', 'title', ',', 'Directed_by', 'FROM', 'Cartoon', 'ORDER', 'BY', 'Original_air_date']","['select', 'title', ',', 'directed_by', 'from', 'cartoon', 'order', 'by', 'original_air_date']","['list', 'all', 'cartoon', 'titles', 'and', 'their', 'directors', 'ordered', 'by', 'their', 'air', 'date']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> list all cartoon titles and their directors ordered by their air date <query> "," <code>SELECT cartoon_title ,  director FROM cartoons ORDER BY air_date"
592,tvshow,"SELECT title ,  Directed_by FROM Cartoon ORDER BY Original_air_date",What is the name and directors of all the cartoons that are ordered by air date?,"['SELECT', 'title', ',', 'Directed_by', 'FROM', 'Cartoon', 'ORDER', 'BY', 'Original_air_date']","['select', 'title', ',', 'directed_by', 'from', 'cartoon', 'order', 'by', 'original_air_date']","['What', 'is', 'the', 'name', 'and', 'directors', 'of', 'all', 'the', 'cartoons', 'that', 'are', 'ordered', 'by', 'air', 'date', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name and directors of all the cartoons that are ordered by air date? <query> "," <strong>SELECT T1.name ,  T1.directors FROM cartoons AS T1 ORDER BY T1.air_date</strong>"
593,tvshow,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"" OR Directed_by = ""Brandon Vietti"";","List the title of all cartoon directed by ""Ben Jones"" or ""Brandon Vietti"".","['SELECT', 'Title', 'FROM', 'Cartoon', 'WHERE', 'Directed_by', '=', '``', 'Ben', 'Jones', ""''"", 'OR', 'Directed_by', '=', '``', 'Brandon', 'Vietti', ""''"", ';']","['select', 'title', 'from', 'cartoon', 'where', 'directed_by', '=', 'value', 'or', 'directed_by', '=', 'value']","['List', 'the', 'title', 'of', 'all', 'cartoon', 'directed', 'by', '``', 'Ben', 'Jones', ""''"", 'or', '``', 'Brandon', 'Vietti', ""''"", '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the title of all cartoon directed by ""Ben Jones"" or ""Brandon Vietti"". <query> "," <strong>SELECT title FROM cartoon WHERE director_name  =  ""Ben Jones"" OR director_name  =  ""Brandon Vietti""</strong>"
594,tvshow,"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"" OR Directed_by = ""Brandon Vietti"";",What are the titles of all cartoons directed by Ben Jones or Brandon Vietti?,"['SELECT', 'Title', 'FROM', 'Cartoon', 'WHERE', 'Directed_by', '=', '``', 'Ben', 'Jones', ""''"", 'OR', 'Directed_by', '=', '``', 'Brandon', 'Vietti', ""''"", ';']","['select', 'title', 'from', 'cartoon', 'where', 'directed_by', '=', 'value', 'or', 'directed_by', '=', 'value']","['What', 'are', 'the', 'titles', 'of', 'all', 'cartoons', 'directed', 'by', 'Ben', 'Jones', 'or', 'Brandon', 'Vietti', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the titles of all cartoons directed by Ben Jones or Brandon Vietti? <query> "," <strong>SELECT title FROM cartoons WHERE director_name  =  ""Ben Jones"" OR director_name  =  ""Brandon Vietti""</strong>"
