instance_number,db_id,query,question,query_toks,query_toks_no_value,question_toks,modified question,generated_query
443,wta_1,SELECT count(DISTINCT loser_name) FROM matches,Find the number of distinct name of losers.,"['SELECT', 'count', '(', 'DISTINCT', 'loser_name', ')', 'FROM', 'matches']","['select', 'count', '(', 'distinct', 'loser_name', ')', 'from', 'matches']","['Find', 'the', 'number', 'of', 'distinct', 'name', 'of', 'losers', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the number of distinct name of losers. <query> ", <hint>     SELECT DISTINCT name     FROM losers </h3> <hint>     SELECT DISTINCT name     FROM losers </h3>
444,wta_1,SELECT count(DISTINCT loser_name) FROM matches,How many different loser names are there?,"['SELECT', 'count', '(', 'DISTINCT', 'loser_name', ')', 'FROM', 'matches']","['select', 'count', '(', 'distinct', 'loser_name', ')', 'from', 'matches']","['How', 'many', 'different', 'loser', 'names', 'are', 'there', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many different loser names are there? <query> ",    SELECT COUNT(DISTINCT loser_name)    FROM wta_1 
445,wta_1,SELECT tourney_name FROM matches GROUP BY tourney_name HAVING count(*)  >  10,Find the name of tourney that has more than 10 matches.,"['SELECT', 'tourney_name', 'FROM', 'matches', 'GROUP', 'BY', 'tourney_name', 'HAVING', 'count', '(', '*', ')', '>', '10']","['select', 'tourney_name', 'from', 'matches', 'group', 'by', 'tourney_name', 'having', 'count', '(', '*', ')', '>', 'value']","['Find', 'the', 'name', 'of', 'tourney', 'that', 'has', 'more', 'than', '10', 'matches', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the name of tourney that has more than 10 matches. <query> ", <hint> </hint> <hint> </hint>
446,wta_1,SELECT tourney_name FROM matches GROUP BY tourney_name HAVING count(*)  >  10,What are the names of tournaments that have more than 10 matches?,"['SELECT', 'tourney_name', 'FROM', 'matches', 'GROUP', 'BY', 'tourney_name', 'HAVING', 'count', '(', '*', ')', '>', '10']","['select', 'tourney_name', 'from', 'matches', 'group', 'by', 'tourney_name', 'having', 'count', '(', '*', ')', '>', 'value']","['What', 'are', 'the', 'names', 'of', 'tournaments', 'that', 'have', 'more', 'than', '10', 'matches', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of tournaments that have more than 10 matches? <query> ", SELECT tournament_name FROM tournaments WHERE num_matches > 10; 
447,wta_1,SELECT winner_name FROM matches WHERE YEAR  =  2013 INTERSECT SELECT winner_name FROM matches WHERE YEAR  =  2016,List the names of all winners who played in both 2013 and 2016.,"['SELECT', 'winner_name', 'FROM', 'matches', 'WHERE', 'YEAR', '=', '2013', 'INTERSECT', 'SELECT', 'winner_name', 'FROM', 'matches', 'WHERE', 'YEAR', '=', '2016']","['select', 'winner_name', 'from', 'matches', 'where', 'year', '=', 'value', 'intersect', 'select', 'winner_name', 'from', 'matches', 'where', 'year', '=', 'value']","['List', 'the', 'names', 'of', 'all', 'winners', 'who', 'played', 'in', 'both', '2013', 'and', '2016', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the names of all winners who played in both 2013 and 2016. <query> ",SELECT winner_nameFROM wta_1WHERE winner_name IN (SELECT winner_name                      FROM wta_1                      WHERE year = 2013)  AND winner_name IN (SELECT winner_name                      FROM wta_1                      WHERE year = 2016)
448,wta_1,SELECT winner_name FROM matches WHERE YEAR  =  2013 INTERSECT SELECT winner_name FROM matches WHERE YEAR  =  2016,What are the names of players who won in both 2013 and 2016?,"['SELECT', 'winner_name', 'FROM', 'matches', 'WHERE', 'YEAR', '=', '2013', 'INTERSECT', 'SELECT', 'winner_name', 'FROM', 'matches', 'WHERE', 'YEAR', '=', '2016']","['select', 'winner_name', 'from', 'matches', 'where', 'year', '=', 'value', 'intersect', 'select', 'winner_name', 'from', 'matches', 'where', 'year', '=', 'value']","['What', 'are', 'the', 'names', 'of', 'players', 'who', 'won', 'in', 'both', '2013', 'and', '2016', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of players who won in both 2013 and 2016? <query> ",SELECT DISTINCT player_nameFROM wta_1WHERE year = 2013AND player_name IN (SELECT player_name                    FROM wta_1                    WHERE year = 2016) 
449,wta_1,SELECT count(*) FROM matches WHERE YEAR  =  2013 OR YEAR  =  2016,List the number of all matches who played in years of 2013 or 2016.,"['SELECT', 'count', '(', '*', ')', 'FROM', 'matches', 'WHERE', 'YEAR', '=', '2013', 'OR', 'YEAR', '=', '2016']","['select', 'count', '(', '*', ')', 'from', 'matches', 'where', 'year', '=', 'value', 'or', 'year', '=', 'value']","['List', 'the', 'number', 'of', 'all', 'matches', 'who', 'played', 'in', 'years', 'of', '2013', 'or', '2016', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the number of all matches who played in years of 2013 or 2016. <query> ","SELECT COUNT(match_id)FROM matchWHERE year IN (2013, 2016);"
450,wta_1,SELECT count(*) FROM matches WHERE YEAR  =  2013 OR YEAR  =  2016,How many matches were played in 2013 or 2016?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'matches', 'WHERE', 'YEAR', '=', '2013', 'OR', 'YEAR', '=', '2016']","['select', 'count', '(', '*', ')', 'from', 'matches', 'where', 'year', '=', 'value', 'or', 'year', '=', 'value']","['How', 'many', 'matches', 'were', 'played', 'in', '2013', 'or', '2016', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many matches were played in 2013 or 2016? <query> ",    SELECT COUNT(*)    FROM wta_1.matches    WHERE year = 2013 OR year = 2016; 
451,wta_1,"SELECT T1.country_code ,  T1.first_name FROM players AS T1 JOIN matches AS T2 ON T1.player_id  =  T2.winner_id WHERE T2.tourney_name  =  'WTA Championships' INTERSECT SELECT T1.country_code ,  T1.first_name FROM players AS T1 JOIN matches AS T2 ON T1.player_id  =  T2.winner_id WHERE T2.tourney_name  =  'Australian Open'",What are the country code and first name of the players who won in both tourney WTA Championships and Australian Open?,"['SELECT', 'T1.country_code', ',', 'T1.first_name', 'FROM', 'players', 'AS', 'T1', 'JOIN', 'matches', 'AS', 'T2', 'ON', 'T1.player_id', '=', 'T2.winner_id', 'WHERE', 'T2.tourney_name', '=', ""'WTA"", 'Championships', ""'"", 'INTERSECT', 'SELECT', 'T1.country_code', ',', 'T1.first_name', 'FROM', 'players', 'AS', 'T1', 'JOIN', 'matches', 'AS', 'T2', 'ON', 'T1.player_id', '=', 'T2.winner_id', 'WHERE', 'T2.tourney_name', '=', ""'Australian"", 'Open', ""'""]","['select', 't1', '.', 'country_code', ',', 't1', '.', 'first_name', 'from', 'players', 'as', 't1', 'join', 'matches', 'as', 't2', 'on', 't1', '.', 'player_id', '=', 't2', '.', 'winner_id', 'where', 't2', '.', 'tourney_name', '=', 'value', 'intersect', 'select', 't1', '.', 'country_code', ',', 't1', '.', 'first_name', 'from', 'players', 'as', 't1', 'join', 'matches', 'as', 't2', 'on', 't1', '.', 'player_id', '=', 't2', '.', 'winner_id', 'where', 't2', '.', 'tourney_name', '=', 'value']","['What', 'are', 'the', 'country', 'code', 'and', 'first', 'name', 'of', 'the', 'players', 'who', 'won', 'in', 'both', 'tourney', 'WTA', 'Championships', 'and', 'Australian', 'Open', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the country code and first name of the players who won in both tourney WTA Championships and Australian Open? <query> ","SELECT country_code, first_nameFROM wta_1.playerWHERE tourney_id IN (SELECT tourney_id                     FROM wta_1.tourney                     WHERE tourney_name = 'WTA Championships')  AND tourney_id IN (SELECT tourney_id                     FROM wta_1.tourney                     WHERE tourney_name = 'Australian Open')  AND winner = 1;"
452,wta_1,"SELECT T1.country_code ,  T1.first_name FROM players AS T1 JOIN matches AS T2 ON T1.player_id  =  T2.winner_id WHERE T2.tourney_name  =  'WTA Championships' INTERSECT SELECT T1.country_code ,  T1.first_name FROM players AS T1 JOIN matches AS T2 ON T1.player_id  =  T2.winner_id WHERE T2.tourney_name  =  'Australian Open'",What are the first names and country codes for players who won both the WTA Championships and the Australian Open?,"['SELECT', 'T1.country_code', ',', 'T1.first_name', 'FROM', 'players', 'AS', 'T1', 'JOIN', 'matches', 'AS', 'T2', 'ON', 'T1.player_id', '=', 'T2.winner_id', 'WHERE', 'T2.tourney_name', '=', ""'WTA"", 'Championships', ""'"", 'INTERSECT', 'SELECT', 'T1.country_code', ',', 'T1.first_name', 'FROM', 'players', 'AS', 'T1', 'JOIN', 'matches', 'AS', 'T2', 'ON', 'T1.player_id', '=', 'T2.winner_id', 'WHERE', 'T2.tourney_name', '=', ""'Australian"", 'Open', ""'""]","['select', 't1', '.', 'country_code', ',', 't1', '.', 'first_name', 'from', 'players', 'as', 't1', 'join', 'matches', 'as', 't2', 'on', 't1', '.', 'player_id', '=', 't2', '.', 'winner_id', 'where', 't2', '.', 'tourney_name', '=', 'value', 'intersect', 'select', 't1', '.', 'country_code', ',', 't1', '.', 'first_name', 'from', 'players', 'as', 't1', 'join', 'matches', 'as', 't2', 'on', 't1', '.', 'player_id', '=', 't2', '.', 'winner_id', 'where', 't2', '.', 'tourney_name', '=', 'value']","['What', 'are', 'the', 'first', 'names', 'and', 'country', 'codes', 'for', 'players', 'who', 'won', 'both', 'the', 'WTA', 'Championships', 'and', 'the', 'Australian', 'Open', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the first names and country codes for players who won both the WTA Championships and the Australian Open? <query> ","SELECT firstname, countrycodeFROM wta_1.playersWHERE playerid IN (SELECT playerid                   FROM wta_1.results                   WHERE tournamentid IN (SELECT tournamentid                                          FROM wta_1.tournaments                                          WHERE tournamentname = 'WTA Championships')                   AND round = 1                   AND winner = 1)AND playerid IN (SELECT playerid                 FROM wta_1.results                 WHERE tournamentid IN (SELECT tournamentid                                        FROM wta_1.tournaments                                        WHERE tournamentname = 'Australian Open')                 AND round = 1                 AND winner = 1)"
453,wta_1,"SELECT first_name ,  country_code FROM players ORDER BY birth_date LIMIT 1",Find the first name and country code of the oldest player.,"['SELECT', 'first_name', ',', 'country_code', 'FROM', 'players', 'ORDER', 'BY', 'birth_date', 'LIMIT', '1']","['select', 'first_name', ',', 'country_code', 'from', 'players', 'order', 'by', 'birth_date', 'limit', 'value']","['Find', 'the', 'first', 'name', 'and', 'country', 'code', 'of', 'the', 'oldest', 'player', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the first name and country code of the oldest player. <query> ", <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min function to find the oldest player. </hint> <hint>Use the min
454,wta_1,"SELECT first_name ,  country_code FROM players ORDER BY birth_date LIMIT 1",What is the first name and country code of the oldest player?,"['SELECT', 'first_name', ',', 'country_code', 'FROM', 'players', 'ORDER', 'BY', 'birth_date', 'LIMIT', '1']","['select', 'first_name', ',', 'country_code', 'from', 'players', 'order', 'by', 'birth_date', 'limit', 'value']","['What', 'is', 'the', 'first', 'name', 'and', 'country', 'code', 'of', 'the', 'oldest', 'player', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the first name and country code of the oldest player? <query> ","    SELECT first_name, country_code    FROM player    WHERE birth_date = (SELECT MIN(birth_date) FROM player)"
455,wta_1,"SELECT first_name ,  last_name FROM players ORDER BY birth_date",List the first and last name of all players in the order of birth date.,"['SELECT', 'first_name', ',', 'last_name', 'FROM', 'players', 'ORDER', 'BY', 'birth_date']","['select', 'first_name', ',', 'last_name', 'from', 'players', 'order', 'by', 'birth_date']","['List', 'the', 'first', 'and', 'last', 'name', 'of', 'all', 'players', 'in', 'the', 'order', 'of', 'birth', 'date', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the first and last name of all players in the order of birth date. <query> ","SELECT first_name, last_nameFROM playerORDER BY birth_date"
456,wta_1,"SELECT first_name ,  last_name FROM players ORDER BY birth_date","What are the full names of all players, sorted by birth date?","['SELECT', 'first_name', ',', 'last_name', 'FROM', 'players', 'ORDER', 'BY', 'birth_date']","['select', 'first_name', ',', 'last_name', 'from', 'players', 'order', 'by', 'birth_date']","['What', 'are', 'the', 'full', 'names', 'of', 'all', 'players', ',', 'sorted', 'by', 'birth', 'date', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the full names of all players, sorted by birth date? <query> ",    SELECT full_name    FROM wta_1.player    ORDER BY birth_date
457,wta_1,"SELECT first_name ,  last_name FROM players WHERE hand  =  'L' ORDER BY birth_date",List the first and last name of all players who are left / L hand in the order of birth date.,"['SELECT', 'first_name', ',', 'last_name', 'FROM', 'players', 'WHERE', 'hand', '=', ""'L"", ""'"", 'ORDER', 'BY', 'birth_date']","['select', 'first_name', ',', 'last_name', 'from', 'players', 'where', 'hand', '=', 'value', 'order', 'by', 'birth_date']","['List', 'the', 'first', 'and', 'last', 'name', 'of', 'all', 'players', 'who', 'are', 'left', '/', 'L', 'hand', 'in', 'the', 'order', 'of', 'birth', 'date', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the first and last name of all players who are left / L hand in the order of birth date. <query> ", <hint> </hHint> <hint> </hint>
458,wta_1,"SELECT first_name ,  last_name FROM players WHERE hand  =  'L' ORDER BY birth_date","What are the full names of all left handed players, in order of birth date?","['SELECT', 'first_name', ',', 'last_name', 'FROM', 'players', 'WHERE', 'hand', '=', ""'L"", ""'"", 'ORDER', 'BY', 'birth_date']","['select', 'first_name', ',', 'last_name', 'from', 'players', 'where', 'hand', '=', 'value', 'order', 'by', 'birth_date']","['What', 'are', 'the', 'full', 'names', 'of', 'all', 'left', 'handed', 'players', ',', 'in', 'order', 'of', 'birth', 'date', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the full names of all left handed players, in order of birth date? <query> ",    SELECT full_name    FROM wta_1.player    WHERE handedness = 'left'    ORDER BY birth_date
459,wta_1,"SELECT T1.country_code ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id ORDER BY T2.tours DESC LIMIT 1",Find the first name and country code of the player who did the most number of tours.,"['SELECT', 'T1.country_code', ',', 'T1.first_name', 'FROM', 'players', 'AS', 'T1', 'JOIN', 'rankings', 'AS', 'T2', 'ON', 'T1.player_id', '=', 'T2.player_id', 'ORDER', 'BY', 'T2.tours', 'DESC', 'LIMIT', '1']","['select', 't1', '.', 'country_code', ',', 't1', '.', 'first_name', 'from', 'players', 'as', 't1', 'join', 'rankings', 'as', 't2', 'on', 't1', '.', 'player_id', '=', 't2', '.', 'player_id', 'order', 'by', 't2', '.', 'tours', 'desc', 'limit', 'value']","['Find', 'the', 'first', 'name', 'and', 'country', 'code', 'of', 'the', 'player', 'who', 'did', 'the', 'most', 'number', 'of', 'tours', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the first name and country code of the player who did the most number of tours. <query> ","SELECT first_name, country_codeFROM wta_1.playerWHERE tour_id IN (  SELECT tour_id  FROM wta_1.player  GROUP BY tour_id  ORDER BY COUNT(tour_id) DESC  LIMIT 1) "
460,wta_1,"SELECT T1.country_code ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id ORDER BY T2.tours DESC LIMIT 1",What is the first name and country code of the player with the most tours?,"['SELECT', 'T1.country_code', ',', 'T1.first_name', 'FROM', 'players', 'AS', 'T1', 'JOIN', 'rankings', 'AS', 'T2', 'ON', 'T1.player_id', '=', 'T2.player_id', 'ORDER', 'BY', 'T2.tours', 'DESC', 'LIMIT', '1']","['select', 't1', '.', 'country_code', ',', 't1', '.', 'first_name', 'from', 'players', 'as', 't1', 'join', 'rankings', 'as', 't2', 'on', 't1', '.', 'player_id', '=', 't2', '.', 'player_id', 'order', 'by', 't2', '.', 'tours', 'desc', 'limit', 'value']","['What', 'is', 'the', 'first', 'name', 'and', 'country', 'code', 'of', 'the', 'player', 'with', 'the', 'most', 'tours', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the first name and country code of the player with the most tours? <query> ","    SELECT first_name, country_code    FROM player    WHERE tours = (SELECT MAX(tours) FROM player)"
461,wta_1,SELECT YEAR FROM matches GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,Find the year that has the most number of matches.,"['SELECT', 'YEAR', 'FROM', 'matches', 'GROUP', 'BY', 'YEAR', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 'year', 'from', 'matches', 'group', 'by', 'year', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['Find', 'the', 'year', 'that', 'has', 'the', 'most', 'number', 'of', 'matches', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the year that has the most number of matches. <query> ", <hint> </hint> <hint> </hint>
462,wta_1,SELECT YEAR FROM matches GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,Which year had the most matches?,"['SELECT', 'YEAR', 'FROM', 'matches', 'GROUP', 'BY', 'YEAR', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 'year', 'from', 'matches', 'group', 'by', 'year', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['Which', 'year', 'had', 'the', 'most', 'matches', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Which year had the most matches? <query> "," <hint>    Use the year column.</hhint> <hint>    SELECT year, COUNT(year) AS num_matches    FROM matches    GROUP BY year    ORDER BY num_matches DESC    LIMIT 1</hint>"
463,wta_1,"SELECT winner_name ,  winner_rank_points FROM matches GROUP BY winner_name ORDER BY count(*) DESC LIMIT 1",Find the name and rank points of the winner who won the most times.,"['SELECT', 'winner_name', ',', 'winner_rank_points', 'FROM', 'matches', 'GROUP', 'BY', 'winner_name', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 'winner_name', ',', 'winner_rank_points', 'from', 'matches', 'group', 'by', 'winner_name', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['Find', 'the', 'name', 'and', 'rank', 'points', 'of', 'the', 'winner', 'who', 'won', 'the', 'most', 'times', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the name and rank points of the winner who won the most times. <query> ", <hint> </hint> <hint> </hint>
464,wta_1,"SELECT winner_name ,  winner_rank_points FROM matches GROUP BY winner_name ORDER BY count(*) DESC LIMIT 1","What is the name of the winner who has won the most matches, and how many rank points does this player have?","['SELECT', 'winner_name', ',', 'winner_rank_points', 'FROM', 'matches', 'GROUP', 'BY', 'winner_name', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 'winner_name', ',', 'winner_rank_points', 'from', 'matches', 'group', 'by', 'winner_name', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['What', 'is', 'the', 'name', 'of', 'the', 'winner', 'who', 'has', 'won', 'the', 'most', 'matches', ',', 'and', 'how', 'many', 'rank', 'points', 'does', 'this', 'player', 'have', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name of the winner who has won the most matches, and how many rank points does this player have? <query> ","SELECT player_name, rank_pointsFROM wta_1WHERE rank_points = (SELECT MAX(rank_points) FROM wta_1)"
465,wta_1,SELECT winner_name FROM matches WHERE tourney_name  =  'Australian Open' ORDER BY winner_rank_points DESC LIMIT 1,Find the name of the winner who has the highest rank points and participated in the Australian Open tourney.,"['SELECT', 'winner_name', 'FROM', 'matches', 'WHERE', 'tourney_name', '=', ""'Australian"", 'Open', ""'"", 'ORDER', 'BY', 'winner_rank_points', 'DESC', 'LIMIT', '1']","['select', 'winner_name', 'from', 'matches', 'where', 'tourney_name', '=', 'value', 'order', 'by', 'winner_rank_points', 'desc', 'limit', 'value']","['Find', 'the', 'name', 'of', 'the', 'winner', 'who', 'has', 'the', 'highest', 'rank', 'points', 'and', 'participated', 'in', 'the', 'Australian', 'Open', 'tourney', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the name of the winner who has the highest rank points and participated in the Australian Open tourney. <query> ",SELECT name FROM wta_1 WHERE winner = 1 AND tourney = 'Australian Open'; 
466,wta_1,SELECT winner_name FROM matches WHERE tourney_name  =  'Australian Open' ORDER BY winner_rank_points DESC LIMIT 1,What is the name of the winner with the most rank points who participated in the Australian Open tournament?,"['SELECT', 'winner_name', 'FROM', 'matches', 'WHERE', 'tourney_name', '=', ""'Australian"", 'Open', ""'"", 'ORDER', 'BY', 'winner_rank_points', 'DESC', 'LIMIT', '1']","['select', 'winner_name', 'from', 'matches', 'where', 'tourney_name', '=', 'value', 'order', 'by', 'winner_rank_points', 'desc', 'limit', 'value']","['What', 'is', 'the', 'name', 'of', 'the', 'winner', 'with', 'the', 'most', 'rank', 'points', 'who', 'participated', 'in', 'the', 'Australian', 'Open', 'tournament', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name of the winner with the most rank points who participated in the Australian Open tournament? <query> ",    SELECT winner    FROM wta_1    WHERE rank_points = (SELECT MAX(rank_points)                        FROM wta_1)</query>
467,wta_1,"SELECT winner_name ,  loser_name FROM matches ORDER BY minutes DESC LIMIT 1",find the names of loser and winner who played in the match with greatest number of minutes.,"['SELECT', 'winner_name', ',', 'loser_name', 'FROM', 'matches', 'ORDER', 'BY', 'minutes', 'DESC', 'LIMIT', '1']","['select', 'winner_name', ',', 'loser_name', 'from', 'matches', 'order', 'by', 'minutes', 'desc', 'limit', 'value']","['find', 'the', 'names', 'of', 'loser', 'and', 'winner', 'who', 'played', 'in', 'the', 'match', 'with', 'greatest', 'number', 'of', 'minutes', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> find the names of loser and winner who played in the match with greatest number of minutes. <query> ", <hint> </hint> <hint> </hint>
468,wta_1,"SELECT winner_name ,  loser_name FROM matches ORDER BY minutes DESC LIMIT 1",What are the names of the winner and loser who played in the longest match?,"['SELECT', 'winner_name', ',', 'loser_name', 'FROM', 'matches', 'ORDER', 'BY', 'minutes', 'DESC', 'LIMIT', '1']","['select', 'winner_name', ',', 'loser_name', 'from', 'matches', 'order', 'by', 'minutes', 'desc', 'limit', 'value']","['What', 'are', 'the', 'names', 'of', 'the', 'winner', 'and', 'loser', 'who', 'played', 'in', 'the', 'longest', 'match', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of the winner and loser who played in the longest match? <query> ", <hint> </hHint> <hint> </hint>
469,wta_1,"SELECT avg(ranking) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name",Find the average ranking for each player and their first name.,"['SELECT', 'avg', '(', 'ranking', ')', ',', 'T1.first_name', 'FROM', 'players', 'AS', 'T1', 'JOIN', 'rankings', 'AS', 'T2', 'ON', 'T1.player_id', '=', 'T2.player_id', 'GROUP', 'BY', 'T1.first_name']","['select', 'avg', '(', 'ranking', ')', ',', 't1', '.', 'first_name', 'from', 'players', 'as', 't1', 'join', 'rankings', 'as', 't2', 'on', 't1', '.', 'player_id', '=', 't2', '.', 'player_id', 'group', 'by', 't1', '.', 'first_name']","['Find', 'the', 'average', 'ranking', 'for', 'each', 'player', 'and', 'their', 'first', 'name', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the average ranking for each player and their first name. <query> ", <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.</hint> <hint>    Use the AVG function.
470,wta_1,"SELECT avg(ranking) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name","What are the first names of all players, and their average rankings?","['SELECT', 'avg', '(', 'ranking', ')', ',', 'T1.first_name', 'FROM', 'players', 'AS', 'T1', 'JOIN', 'rankings', 'AS', 'T2', 'ON', 'T1.player_id', '=', 'T2.player_id', 'GROUP', 'BY', 'T1.first_name']","['select', 'avg', '(', 'ranking', ')', ',', 't1', '.', 'first_name', 'from', 'players', 'as', 't1', 'join', 'rankings', 'as', 't2', 'on', 't1', '.', 'player_id', '=', 't2', '.', 'player_id', 'group', 'by', 't1', '.', 'first_name']","['What', 'are', 'the', 'first', 'names', 'of', 'all', 'players', ',', 'and', 'their', 'average', 'rankings', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the first names of all players, and their average rankings? <query> ","SELECT first_name, AVG(ranking)FROM wta_1.playersGROUP BY first_nameORDER BY AVG(ranking) DESC"
471,wta_1,"SELECT sum(ranking_points) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name",Find the total ranking points for each player and their first name.,"['SELECT', 'sum', '(', 'ranking_points', ')', ',', 'T1.first_name', 'FROM', 'players', 'AS', 'T1', 'JOIN', 'rankings', 'AS', 'T2', 'ON', 'T1.player_id', '=', 'T2.player_id', 'GROUP', 'BY', 'T1.first_name']","['select', 'sum', '(', 'ranking_points', ')', ',', 't1', '.', 'first_name', 'from', 'players', 'as', 't1', 'join', 'rankings', 'as', 't2', 'on', 't1', '.', 'player_id', '=', 't2', '.', 'player_id', 'group', 'by', 't1', '.', 'first_name']","['Find', 'the', 'total', 'ranking', 'points', 'for', 'each', 'player', 'and', 'their', 'first', 'name', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Find the total ranking points for each player and their first name. <query> "," <hint>    SELECT first_name, total_points    FROM wta_1    WHERE total_points > 1000    ORDER BY total_points DESC</hHint>"
